"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-02",98.27345,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-03",98.27,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-04",98.24728,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-05",98.24586,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-06",98.14011,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-07",97.82362,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-08",97.6306,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-09",97.57408,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-10",97.6836,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-11",97.96968,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2010-12",98.24857,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-01",98.36896,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-02",98.31441,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-03",98.04359,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-04",97.97866,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-05",97.9612,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-06",97.61961,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-07",96.97823,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-08",96.43077,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-09",96.35609,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-10",96.61364,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-11",97.10473,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2011-12",97.7122,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-01",98.23007,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-02",98.51879,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-03",98.65793,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-04",98.69691,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-05",98.63428,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-06",98.40494,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-07",98.32413,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-08",98.51468,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-09",98.8695,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-10",99.12394,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-11",99.02703,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2012-12",98.6524,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-01",98.50836,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-02",98.6239,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-03",98.81104,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-04",99.04903,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-05",99.42864,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-06",99.6249,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-07",99.5826,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-08",99.26745,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-09",98.83982,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-10",98.57545,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-11",98.6882,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2013-12",99.02904,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.22305,
